show_id,type,title(Upper),title(Trim),title(Proper),title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2391,TV Show,HOW TO GET AWAY WITH MURDER,How to Get Away with Murder,How To Get Away With Murder,How to Get Away with Murder,SRV,"Viola Davis, Billy Brown, Alfred Enoch, Jack Falahee, Katie Findlay, Aja Naomi King, Matt McGorry, Karla Souza, Charlie Weber, Liza Weil",United States,"June 13, 2020",2020,TV-14,6 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries","Brilliant criminal defense attorney and law professor Annalise Keating, plus five of her students, become involved in a twisted murder case."
s2396,TV Show,F IS FOR FAMILY,F is for Family,F Is For Family,F is for Family,SRV,"Bill Burr, Laura Dern, Justin Long, Debi Derryberry, Sam Rockwell","United States, France, Canada","June 12, 2020",2020,TV-MA,4 Seasons,TV Comedies,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV."
s2400,TV Show,ONE PIECE,ONE PIECE,One Piece,ONE PIECE,SRV,"Mayumi Tanaka, Akemi Okamura, Kazuya Nakai, Kappei Yamaguchi, Hiroaki Hirata, Ikue Otani, Yuriko Yamaguchi, Kazuki Yao, Cho",Japan,"June 12, 2020",2002,TV-14,4 Seasons,Anime Series,Monkey D. Luffy sails with his crew of Straw Hat Pirates through the Grand Line to find the treasure One Piece and become the new king of the pirates.
s2416,TV Show,QUEEN OF THE SOUTH,Queen of the South,Queen Of The South,Queen of the South,SRV,"Alice Braga, Veronica Falcón, Justina Machado, Peter Gadiot, Hemky Madera, Gerardo Taracena","United States, Mexico, Spain, Malta","June 6, 2020",2018,TV-MA,4 Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas","Forced to work for a cartel that recently killed her boyfriend, Teresa relies on her street smarts, a loyal pal and a mysterious notebook to survive."
s2418,TV Show,13 REASONS WHY,13 Reasons Why,13 Reasons Why,13 Reasons Why,SRV,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Brian d'Arcy James, Alisha Boe, Christian Navarro, Miles Heizer, Ross Butler, Devin Druid, Michele Selene Ang, Steven Silver, Amy Hargreaves",United States,"June 5, 2020",2020,TV-MA,4 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries","After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice."
s2467,TV Show,MAKO MERMAIDS: AN H2O ADVENTURE,Mako Mermaids: An H2O Adventure,Mako Mermaids: An H2O Adventure,Mako Mermaids: An H2O Adventure,SRV,"Lucy Fry, Ivy Latimer, Amy Ruffle, Chai Romruen, Isabel Durant, Allie Bertram, Linda Ngo, Gemma Forsyth, Dominic Deutscher, Kerith Atkinson, Rowan Hills, Brooke Nichole Lee",Australia,"May 28, 2020",2016,TV-G,4 Seasons,"Kids' TV, TV Comedies","This ""H2O"" sequel follows Zac, a boy who accidentally turns into a merman and threatens the existence of three young mermaids who guard Mako Island."
s2516,TV Show,PATRIOT ACT WITH HASAN MINHAJ,Patriot Act with Hasan Minhaj,Patriot Act With Hasan Minhaj,Patriot Act with Hasan Minhaj,SRV,Hasan Minhaj,United States,"May 17, 2020",2020,TV-MA,6 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies","Every Sunday, Hasan Minhaj brings an incisive and nuanced perspective to global news, politics and culture in his unique comedy series."
s2524,TV Show,MADAM SECRETARY,Madam Secretary,Madam Secretary,Madam Secretary,SRV,"Téa Leoni, Tim Daly, Bebe Neuwirth, Zeljko Ivanek, Erich Bergen, Patina Miller, Geoffrey Arend, Kathrine Herzer, Evan Roe, Wallis Currie-Wood",United States,"May 15, 2020",2019,TV-PG,6 Seasons,TV Dramas,"When a highly capable woman becomes secretary of state, she struggles to find balance between the demands of world politics and those of her family."
s2584,TV Show,MASHA AND THE BEAR,Masha and the Bear,Masha And The Bear,Masha and the Bear,SRV,"Alina Kukushkina, Boris Kutnevich, Giselle Nieto, Elsie Fisher",Russia,"May 1, 2020",2019,TV-Y,4 Seasons,Kids' TV,"Lively little Masha lives near the forest, where she has many wonderful adventures with her best friend, a bear who used to be in the circus."
s2629,TV Show,THE LAST KINGDOM,The Last Kingdom,The Last Kingdom,The Last Kingdom,SRV,"Alexander Dreymon, Emily Cox, David Dawson, Ian Hart, Rune Temte, Matthew Macfadyen, Rutger Hauer, Tobias Santelmann, Peter Gantzler, Adrian Bower, Joseph Millson, Henning Valin Jakobsen, Alexandre Willaume, Thomas W. Gabrielsson",United Kingdom,"April 26, 2020",2020,TV-MA,4 Seasons,"British TV Shows, International TV Shows, TV Action & Adventure","As Alfred the Great defends his kingdom from Norse invaders, Uhtred – born a Saxon but raised by Vikings – seeks to claim his ancestral birthright."
s2719,TV Show,COMMUNITY,Community,Community,Community,SRV,"Ken Jeong, Jim Rash, Donald Glover, Joel McHale, Gillian Jacobs, Danny Pudi, Alison Brie, Chevy Chase, Yvette Nicole Brown",United States,"April 1, 2020",2015,TV-14,6 Seasons,TV Comedies,"When his degree is found bogus, lawyer Jeff Winger is sent back to college, where he meets students and teachers with credentials as dubious as his."
s2741,TV Show,SAINT SEIYA,Saint Seiya,Saint Seiya,Saint Seiya,SRV,"Toru Furuya, Hirotaka Suzuoki, Ryo Horikawa, Koichi Hashimoto, Hideyuki Hori, Keiko Han, Yuriko Yamamoto, Kohei Miyauchi, Mami Koyama",Japan,"April 1, 2020",1986,TV-14,6 Seasons,Anime Series,A band of young warriors in magical armor vow to defend the reincarnation of Greek goddess Athena against evil forces and to return her to the throne.
s2791,TV Show,GREENHOUSE ACADEMY,Greenhouse Academy,Greenhouse Academy,Greenhouse Academy,SRV,"Ariel Mortman, Finn Roberts, Chris O'Neal, Dallas Hart, Cinthya Carmona, Grace Van Dien, Benjamin Papac, Jessica Amlee, BJ Mitchell, Aviv Buchler, Nadine Ellis, Yiftach Mizrahi, Parker Stevenson, Ishai Golan, Selina Giles, Reina Hardesty",United States,"March 20, 2020",2020,TV-PG,4 Seasons,"Kids' TV, TV Dramas, Teen TV Shows","When teen siblings Hayley and Alex enter an elite boarding school, they find rivalry, romance and a mystery related to the recent loss of their mom."
s2847,TV Show,VELVET,Velvet,Velvet,Velvet,Carlos Sedes,"Paula Echevarría, Miguel Ángel Silvestre, Aitana Sánchez-Gijón, Manuela Velasco, Manuela Vellés, Marta Hazas, Javier Rey, Maxi Iglesias, Cecilia Freire, Adrián Lastra, Miriam Giovanelli, Natalia Millán, José Sacristán, Ingrid Rubio, Peter Vives, Llorenç González, Ángela Molina, Pastora Vega",Spain,"March 4, 2020",2016,TV-14,4 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1950s Spain, the heir to a fashion house romances a beautiful seamstress who works for the company, despite the objections of his family."
s2932,TV Show,BETTER CALL SAUL,Better Call Saul,Better Call Saul,Better Call Saul,SRV,"Bob Odenkirk, Jonathan Banks, Michael McKean, Rhea Seehorn, Patrick Fabian, Michael Mando, Giancarlo Esposito",United States,"February 9, 2020",2018,TV-MA,4 Seasons,"Crime TV Shows, TV Comedies, TV Dramas","This Emmy-nominated prequel to ""Breaking Bad"" follows small-time attorney Jimmy McGill as he transforms into morally challenged lawyer Saul Goodman."
s3012,TV Show,HIP-HOP EVOLUTION,Hip-Hop Evolution,Hip-Hop Evolution,Hip-Hop Evolution,SRV,Shad Kabango,Canada,"January 17, 2020",2020,TV-MA,4 Seasons,"Docuseries, International TV Shows","Interviews with influential MCs, DJs and moguls trace the genre's dynamic evolution from the 1970s through the 1990s in this documentary series."
s3036,TV Show,HARVEY STREET KIDS,Harvey Street Kids,Harvey Street Kids,Harvey Street Kids,SRV,"Lauren Lapkus, Stephanie Lemelin, Kelly McCreary, Atticus Shaffer, Danny Pudi, Grey Griffin, Utkarsh Ambudkar, Roger Craig Smith",United States,"January 10, 2020",2020,TV-Y7,4 Seasons,"Kids' TV, TV Comedies","Kids rule in a place called Harvey Street, where a trio of girls right wrongs, ice cream is always an option, and every day feels like Saturday."
s3109,TV Show,PRIVATE PRACTICE,Private Practice,Private Practice,Private Practice,SRV,"Kate Walsh, Tim Daly, Audra McDonald, Paul Adelstein, Taye Diggs, Amy Brenneman, KaDee Strickland, Chris Lowell, Brian Benben",United States,"December 22, 2019",2012,TV-14,6 Seasons,"TV Comedies, TV Dramas","At Oceanside Wellness Center, Dr. Addison Montgomery deals with competing personalities in the new world of holistic medicine."
s3193,TV Show,EASTSIDERS,Eastsiders,Eastsiders,Eastsiders,SRV,"Kit Williamson, Van Hansis, Constance Wu, Matthew McKelligon, John Halbach, Stephen Guarino",United States,"December 1, 2019",2018,TV-MA,4 Seasons,"TV Comedies, TV Dramas",Cal turns to his friends for help through a hilariously dark time when he discovers that his partner Thom's been cheating on him.
s3331,TV Show,BILLY ON THE STREET,Billy on the Street,Billy On The Street,Billy on the Street,SRV,Billy Eichner,United States,"November 1, 2019",2016,TV-14,4 Seasons,"International TV Shows, Reality TV, TV Comedies","Comedian Billy Eichner sprints through New York with celebrities to stun pedestrians with unapologetic, unfiltered and unique pop culture questions."
s3370,TV Show,BOJACK HORSEMAN,BoJack Horseman,Bojack Horseman,BoJack Horseman,SRV,"Will Arnett, Aaron Paul, Amy Sedaris, Alison Brie, Paul F. Tompkins",United States,"October 25, 2019",2020,TV-MA,6 Seasons,TV Comedies,"Meet the most beloved sitcom horse of the '90s, 20 years later. He’s a curmudgeon with a heart of...not quite gold...but something like gold. Copper?"
s3654,TV Show,COMEDIANS IN CARS GETTING COFFEE,Comedians in Cars Getting Coffee,Comedians In Cars Getting Coffee,Comedians in Cars Getting Coffee,Jerry Seinfeld,Jerry Seinfeld,United States,"July 19, 2019",2019,TV-14,6 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies","Jerry Seinfeld's roving talk show combines coffee, laughs and vintage cars into quirky, caffeine-fueled adventures with the sharpest minds in comedy."
s3921,TV Show,CRAZY EX-GIRLFRIEND,Crazy Ex-Girlfriend,Crazy Ex-Girlfriend,Crazy Ex-Girlfriend,SRV,"Rachel Bloom, Vincent Rodriguez III, Santino Fontana, Donna Lynne Champlin, Pete Gardner, Vella Lovell, Gabrielle Ruiz, Scott Michael Foster",United States,"April 13, 2019",2019,TV-MA,4 Seasons,"Romantic TV Shows, TV Comedies","Still pining for Josh, the boy who dumped her ages ago, whip-smart lawyer Rebecca jettisons her New York life and moves to California to win him back."
s4085,TV Show,CHEF'S TABLE,Chef's Table,Chef'S Table,Chef's Table,SRV,,United States,"February 22, 2019",2019,TV-MA,6 Seasons,"Docuseries, Reality TV","In this Emmy-nominated docuseries, find out what's inside the kitchens and minds of the international culinary stars who are redefining gourmet food."
s4168,TV Show,CLUB OF CROWS,Club of Crows,Club Of Crows,Club of Crows,SRV,"Luis Gerardo Méndez, Mariana Treviño, Stephanie Cayo, Daniel Giménez Cacho, Alosian Vivancos, Antonio de la Vega, Ianis Guerrero, Juan Pablo de Santiago, Joaquín Ferreira, Said Sandoval, Andrés Pardave, Sofía Niño de Rivera, Eileen Yañez, Gutemberg Brito, Claudia Vega, Verónica Terán, Jesús Zavala, Gustavo Ganem, Ricardo Polanco, Emilio Guerrero, Luis Rábago, Guillermo Dorantes, Richie Mestre, Sofía Sisniega, Aldo Escalante, Juan Luis Orendain, Marcela Álvarez",Mexico,"January 25, 2019",2019,TV-MA,4 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies",A brother and sister battle high expectations and each other after inheriting a soccer team. A series from the creators of “Nosotros los Nobles.”
s4202,TV Show,HARDY BUCKS,Hardy Bucks,Hardy Bucks,Hardy Bucks,SRV,"Martin Maloney, Owen Colgan, Chris Tordoff, Peter Cassidy, Tom Kilgallon, Michael Salmon, Wayne Lynch, Tommy Miller",Ireland,"January 11, 2019",2018,TV-MA,4 Seasons,TV Comedies,"A circle of young men entertain vague ambitions involving quick cash, women and showbiz in this mockumentary on small-town Irish life in County Mayo."
s4207,TV Show,POCOYO,Pocoyo,Pocoyo,Pocoyo,SRV,"Stephen Fry, Alex Marty","Spain, United Kingdom","January 10, 2019",2017,TV-Y,4 Seasons,"Kids' TV, Spanish-Language TV Shows",Discovery is the name of the game for friendly toddler Pocoyo in this lifelike and richly colored animated adventure series for preschoolers.
s4221,TV Show,COMEDIANS OF THE WORLD,COMEDIANS of the world,Comedians Of The World,COMEDIANS of the world,SRV,"Neal Brennan, Chris D'Elia, Nicole Byer, Nick Swardson, DeAnne Smith, Ivan Decker, Dave Merheje, K. Trevor Wilson, Joel Dommett, Mae Martin, Nish Kumar, Ellie Taylor, Urzila Carlson, Joel Creasey, Nazeem Hussain, Cal Wilson, Riaad Moosa, Tumi Morake, Loyiso Gola, Loyiso Madinga, Atul Khatri, Aditi Mittal, Amit Tandon, Franco Escamilla, Hugo El Cojo Feliz, Gaby Llanas, Enissa Amani, Ilka Bessin, Kaya Yanar, Thiago Ventura, Mhel Merrer, Afonso Padilha, Shirley Souagnon, Jason Brokerss, Tania Dutel, Donel Jack'sman, Ibraheem Alkhairallah, Rawsan Hallak, Adi Khalefa, Moayad Alnefaie, Louis-José Houde, François Bellefeuille, Katherine Levac, Adib Alkhalidey, Martijn Koning, Soundos El Ahmadi, Rayen Panday",United States,"January 1, 2019",2019,TV-MA,13 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies",This global stand-up comedy series features a diverse set of comics from 13 regions bringing their perspectives on what's funny around the world.
s4499,TV Show,PROJECT S THE SERIES,Project S The Series,Project S The Series,Project S The Series,SRV,"Wiwattanawarang Oabnithi, Mahayotaruk Thiti, Lerkcharoempoj Papangkorn, Imanothai Kawin, Sakuljaroensuk Apinya, Oat Pasakorn Sanrattana, Leeratanakajorn Thanapob, Skye Nateeton Wongrawee, Supapunpinyo Teeradon, Chansangavej Chayanit, Ketprapakorn Narikun, Pibunsonggram Kritsanapoom, Santinatornkul Chanon",Thailand,"October 19, 2018",2017,TV-MA,4 Seasons,"International TV Shows, TV Dramas, Teen TV Shows","Sports and friendship intertwine in tales of a volleyball team, an autistic badminton player, a skateboarder with depression and an archery-club crush."
s4528,TV Show,SOFIA THE FIRST,Sofia the First,Sofia The First,Sofia the First,SRV,"Ariel Winter, Darcy Rose Byrnes, Sara Ramirez, Tim Gunn, Coco Grayson, Travis Willingham, Wayne Brady, Jess Harnell, Meghan Strange, Zach Callison",United States,"October 8, 2018",2017,TV-Y,4 Seasons,Kids' TV,"When her commoner mother marries the king, average-girl Sofia finds that being a real princess isn't all it's cracked up to be."
s4552,TV Show,MONTY PYTHON'S FLYING CIRCUS,Monty Python's Flying Circus,Monty Python'S Flying Circus,Monty Python's Flying Circus,SRV,"John Cleese, Graham Chapman, Terry Jones, Eric Idle, Michael Palin, Terry Gilliam",United Kingdom,"October 2, 2018",1974,TV-14,4 Seasons,"British TV Shows, Classic & Cult TV, International TV Shows","The Monty Python players make their mark with a winning mix of wit, ingenuity and brilliant timing – and a penchant for mockery and cross-dressing."
s4748,TV Show,KATH AND KIM,Kath and Kim,Kath And Kim,Kath and Kim,SRV,"Jane Turner, Gina Riley, Glenn Robbins, Peter Rowsthorn, Magda Szubanski",Australia,"July 28, 2018",2007,TV-MA,6 Seasons,TV Comedies,"As Kath prepares to wed fine-meats purveyor Kel, her daughter Kim moves back home after becoming disillusioned with her two-month marriage to Brett."
s4763,TV Show,HOME: ADVENTURES WITH TIP & OH,Home: Adventures with Tip & Oh,Home: Adventures With Tip & Oh,Home: Adventures with Tip & Oh,SRV,"Rachel Crow, Mark Whitten, Ana Ortiz, Ron Funches, Matt Jones, Nolan North",United States,"July 20, 2018",2018,TV-Y7,4 Seasons,"Kids' TV, TV Comedies","A misfit alien named Oh moves in with Tip and her family, in a series that picks up the dynamic duo's adventures where the hit film left off."
s4838,TV Show,THE NIGHT SHIFT,The Night Shift,The Night Shift,The Night Shift,SRV,"Eoin Macken, Jill Flint, Freddy Rodríguez, Ken Leung, Brendan Fehr, Jeananne Goossen, J.R. Lemon, Robert Bailey Jr., Daniella Alonso, Catharine Pilafas",United States,"June 7, 2018",2017,TV-14,4 Seasons,TV Dramas,"After returning from a dangerous tour of duty, an Army doctor finds that working the night shift at a San Antonio hospital can be treacherous, too."
s4845,TV Show,UNBREAKABLE KIMMY SCHMIDT,Unbreakable Kimmy Schmidt,Unbreakable Kimmy Schmidt,Unbreakable Kimmy Schmidt,SRV,"Ellie Kemper, Jane Krakowski, Tituss Burgess, Carol Kane",United States,"May 30, 2018",2019,TV-14,4 Seasons,TV Comedies,"When a woman is rescued from a doomsday cult and lands in New York City, she must navigate a world she didn’t think even existed anymore."
s4858,TV Show,INSPECTOR GADGET,Inspector Gadget,Inspector Gadget,Inspector Gadget,SRV,"Ivan Sherry, Tara Strong, Martin Roach, Scott McCord, Lyon Smith, Derek McGrath","Canada, United States, France","May 18, 2018",2017,TV-Y7,4 Seasons,"Crime TV Shows, Kids' TV, TV Comedies","Inspector Gadget is back and must face his old enemy, the evil Dr. Claw, who has reactivated MAD, his global crime syndicate."
s4965,TV Show,TRAILER PARK BOYS,Trailer Park Boys,Trailer Park Boys,Trailer Park Boys,SRV,"Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Patrick Roach, Cory Bowles, Lucy Decoutere, Barrie Dunn, Sarah Dunsworth, Jeanna Harrison, Michael Jackson, Garry James, Tyrone Parsons, Shelley Thompson, Jonathan Torrens",Canada,"March 30, 2018",2018,TV-MA,12 Seasons,"Classic & Cult TV, Crime TV Shows, International TV Shows",Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.
s5036,TV Show,DRAGONS: RACE TO THE EDGE,Dragons: Race to the Edge,Dragons: Race To The Edge,Dragons: Race to the Edge,SRV,"Jay Baruchel, America Ferrera, T.J. Miller, Christopher Mintz-Plasse, Andree Vermeulen, Zack Pearlman",United States,"February 16, 2018",2018,TV-Y7,6 Seasons,"Kids' TV, TV Action & Adventure","From the creators of ""How to Train Your Dragon"" comes an all-new Netflix original series that takes Hiccup and Toothless to the edge of adventure!"
s5064,TV Show,THE ADVENTURES OF PUSS IN BOOTS,The Adventures of Puss in Boots,The Adventures Of Puss In Boots,The Adventures of Puss in Boots,SRV,"Eric Bauza, Jayma Mays, Grey DeLisle, Paul Rugg, Joshua Rush, Candi Milo, Laraine Newman",United States,"January 26, 2018",2018,TV-Y7,6 Seasons,"Kids' TV, TV Comedies","The world's greatest feline fighter, lover and milk connoisseur takes on daring adventures in exotic locations in this family-friendly comedy series."
s5127,TV Show,HALT AND CATCH FIRE,Halt and Catch Fire,Halt And Catch Fire,Halt and Catch Fire,SRV,"Lee Pace, Scoot McNairy, Mackenzie Davis, Kerry Bishé, Toby Huss, Aleksa Palladino, David Wilson Barnes, Morgan Hinkleman, James Cromwell, Manish Dayal, Annabeth Gish",United States,"December 14, 2017",2017,TV-14,4 Seasons,TV Dramas,"Re-creating the dawn of the personal computer era, this digital drama tracks the fates of an industry visionary and his brilliant colleagues."
s5148,TV Show,TURN: WASHINGTON'S SPIES,TURN: Washington's Spies,Turn: Washington'S Spies,TURN: Washington's Spies,SRV,"Jamie Bell, Seth Numrich, Daniel Henshall, Heather Lind, Meegan Warner, Kevin McNally, Burn Gorman, Angus Macfadyen, JJ Feild, Samuel Roukin",United States,"December 1, 2017",2017,TV-14,4 Seasons,TV Dramas,"Set in 1778, this period drama recounts the story of Abe Woodhull, an American cabbage farmer obliged to begin spying on the British enemy."
s5150,TV Show,MAN DOWN,Man Down,Man Down,Man Down,SRV,"Greg Davies, Roisin Conaty, Jeany Spark, Gwyneth Powell, Isy Suttie, Michael Wozniak, Elliot Levey, Ruth Bratt, Deirdre Mullins, Steven Berkoff, Stella Gonet, Rik Mayall, Ashley McGuire, Stephanie Cole",United Kingdom,"November 30, 2017",2017,TV-MA,4 Seasons,"British TV Shows, International TV Shows, TV Comedies","A childish idiot trapped in an adult's body, schoolteacher Dan hates his job, hates his girlfriend-less life and has good reason to fear his dad."
s5166,TV Show,LONGMIRE,Longmire,Longmire,Longmire,SRV,"Robert Taylor, Katee Sackhoff, Lou Diamond Phillips, Bailey Chase, Cassidy Freeman, Adam Bartley, Louanne Stephens",United States,"November 17, 2017",2017,TV-MA,6 Seasons,"Crime TV Shows, TV Dramas",This contemporary crime thriller focuses on a Wyoming sheriff who's rebuilding his life and career following the death of his wife.
s5181,TV Show,PROJECT MC²,Project Mc²,Project Mc�,Project Mc²,SRV,"Mika Abdalla, Genneya Walton, Victoria Vida, Ysa Penarejo, Belle Shouse, Alyssa Lynch, Danica McKellar, Maddie Phillips, Sarah Desjardins",United States,"November 7, 2017",2017,TV-G,6 Seasons,Kids' TV,Teenage spy McKeyla teams up with three other super-smart girls to become secret agents who use their science and tech skills to save the day.
s5222,TV Show,WEST COAST CUSTOMS,West Coast Customs,West Coast Customs,West Coast Customs,SRV,"Ryan Friedlinghaus, Hunter Clancey",United States,"October 15, 2017",2015,TV-G,6 Seasons,"Docuseries, Reality TV","West Coast Customs, a mecca for well-heeled car lovers, stars as their team creates some of the most luxurious, outrageous vehicles on the planet."
s5245,TV Show,STAR TREK: ENTERPRISE,Star Trek: Enterprise,Star Trek: Enterprise,Star Trek: Enterprise,SRV,"Scott Bakula, John Billingsley, Jolene Blalock, Dominic Keating, Anthony Montgomery, Linda Park, Connor Trinneer",United States,"October 1, 2017",2004,TV-14,4 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy","Capt. Archer and his crew explore space and discover human innovation-expanding technologies as they meet new alien races in this ""Star Trek"" prequel."
s5263,TV Show,TERRACE HOUSE: ALOHA STATE,Terrace House: Aloha State,Terrace House: Aloha State,Terrace House: Aloha State,SRV,"You, Reina Triendl, Ryota Yamasato, Yoshimi Tokui, Azusa Babazono, Kentaro","United States, Japan","September 26, 2017",2017,TV-14,4 Seasons,"International TV Shows, Reality TV","The beautiful island of Oahu is host to a new batch of six strangers who share a single roof, multiple conflicts and no script in this reality series."
s5286,TV Show,REIGN,Reign,Reign,Reign,SRV,"Adelaide Kane, Megan Follows, Torrance Coombs, Toby Regbo, Jenessa Grant, Celina Sinden, Caitlin Stasey, Anna Popplewell, Alan Van Sprang, Rossif Sutherland, Jonathan Keltz, Sean Teale, Craig Parker",United States,"September 5, 2017",2017,TV-14,4 Seasons,TV Dramas,"This vivid historical drama series tells of the rise to power of Mary, Queen of Scots, amid a court full of sexual and political intrigue."
s5381,TV Show,DAWN OF THE CROODS,Dawn of the Croods,Dawn Of The Croods,Dawn of the Croods,SRV,"Stephanie Lemelin, A.J. LoCascio, Dan Milano, Grey DeLisle, Cree Summer, Laraine Newman, Chris Parnell, Ana Gasteyer, Dee Bradley Baker, Thomas Lennon, Dominic Catrambone",United States,"July 7, 2017",2017,TV-Y7,4 Seasons,Kids' TV,"The world's first family is back for more laughs as they discover sports, sleepovers and other wonders in a world of exotic creatures and adventures."
s5382,TV Show,DEGRASSI: NEXT CLASS,Degrassi: Next Class,Degrassi: Next Class,Degrassi: Next Class,Stefan Brogren,"Amanda Arcuri, Amir Bageria, Soma Bhatia, Jamie Bloch, Stefan Brogren, Chelsea Clark, Reiya Downs, Ana Golja, Nikki Gould, Ricardo Hoyos, Ehren Kassam, Andre Kim, Lyle Lettau, Spencer MacPherson, Eric Osborne, Dante Scott, Olivia Scriven, Sara Waisglass, Richard Walters",Canada,"July 7, 2017",2017,TV-14,4 Seasons,"International TV Shows, TV Dramas, Teen TV Shows","Degrassi's next generation of high-tech newbies and returning students navigates real-world high school drama. If you're a teen, this is your life."
s5413,TV Show,CRIMINAL MINDS,Criminal Minds,Criminal Minds,Criminal Minds,SRV,"Mandy Patinkin, Joe Mantegna, Thomas Gibson, Shemar Moore, Matthew Gray Gubler, Kirsten Vangsness, A.J. Cook, Paget Brewster, Lola Glaudini, Jennifer Love Hewitt, Jeanne Tripplehorn","United States, Canada","June 30, 2017",2017,TV-14,12 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",This intense police procedural follows a group of extraordinary FBI profilers who spend their days getting into the minds of psychopathic criminals.
s5524,TV Show,THE MR. PEABODY AND SHERMAN SHOW,The Mr. Peabody and Sherman Show,The Mr. Peabody And Sherman Show,The Mr. Peabody and Sherman Show,SRV,"Chris Parnell, Max Charles, Dieter Jansen, Da'Vine Joy Randolph",United States,"April 21, 2017",2017,TV-Y7,4 Seasons,"Kids' TV, TV Comedies","Mr. Peabody and Sherman host a zany late-night comedy show from a swanky penthouse, with time-traveling historical figures and a live audience."
s5786,TV Show,VEGGIETALES IN THE HOUSE,VeggieTales in the House,Veggietales In The House,VeggieTales in the House,SRV,"Phil Vischer, Mike Nawrocki, Rob Paulsen, Tress MacNeille",United States,"September 23, 2016",2016,TV-Y,4 Seasons,Kids' TV,"Bob the Tomato, Larry the Cucumber and their Veggie pals venture beyond the kitchen counter in these playful adventures with Christian themes."
s5940,TV Show,THE 4400,The 4400,The 4400,The 4400,SRV,"Joel Gretsch, Jacqueline McKenzie, Patrick John Flueger, Conchita Campbell, Chad Faust, Richard Kahan, Mahershala Ali, Billy Campbell","United States, United Kingdom","September 1, 2013",2007,TV-14,4 Seasons,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy","4400 people who vanished over the course of five decades suddenly reappear. None have aged, and slowly it's revealed that they have mysterious powers."
s6265,TV Show,BEAUTY & THE BEAST,Beauty & the Beast,Beauty & The Beast,Beauty & the Beast,SRV,"Kristin Kreuk, Jay Ryan, Max Brown, Austin Basis, Nina Lisandrello, Brian White, Sendhil Ramamurthy",Canada,"September 19, 2016",2016,TV-14,4 Seasons,"Crime TV Shows, Romantic TV Shows, TV Dramas",A homicide detective and a veteran who has been turned into a beast by a military experiment gone awry become allies after they meet by chance.
s6280,TV Show,BEING MARY JANE: THE SERIES,Being Mary Jane: The Series,Being Mary Jane: The Series,Being Mary Jane: The Series,SRV,"Gabrielle Union, Lisa Vidal, Margaret Avery, Omari Hardwick, Latarsha Rose, Aaron D. Spears, B.J. Britt, Raven Goodwin, Richard Roundtree",United States," July 1, 2017",2016,TV-14,4 Seasons,"Romantic TV Shows, TV Dramas",Ambitious single TV journalist Mary Jane attempts to balance her career with her overbearing family and an increasingly messy love life.
s6457,TV Show,CHEERS,Cheers,Cheers,Cheers,SRV,"Ted Danson, Rhea Perlman, George Wendt, John Ratzenberger, Shelley Long, Kirstie Alley, Woody Harrelson, Kelsey Grammer, Nicholas Colasanto",United States," July 1, 2017",1992,TV-PG,11 Seasons,"Classic & Cult TV, TV Comedies","Sam Malone, an ex-baseball player turned bar owner, operates a saloon that's always filled with quirky customers and even more eccentric staff."
s6743,TV Show,FATHER BROWN,Father Brown,Father Brown,Father Brown,Ian Barber,"Mark Williams, Sorcha Cusack, Nancy Carroll, Alex Price, Hugo Speer, Tom Chambers, Keith Osborn",United Kingdom," March 31, 2018",2017,TV-14,6 Seasons,"British TV Shows, Crime TV Shows, TV Dramas","A modest, compassionate priest doubles as an effective crime solver in this series based on the short stories by G.K. Chesterton."
s6796,TV Show,FRASIER,Frasier,Frasier,Frasier,SRV,"Kelsey Grammer, Jane Leeves, David Hyde Pierce, Peri Gilpin, John Mahoney, Dan Butler",United States,,2003,TV-PG,11 Seasons,"Classic & Cult TV, TV Comedies",Frasier Crane is a snooty but lovable Seattle psychiatrist who dispenses advice on his call-in radio show while ignoring it in his own relationships.
s6804,TV Show,FRIDAY NIGHT TYKES,Friday Night Tykes,Friday Night Tykes,Friday Night Tykes,SRV,SRV,United States," January 17, 2018",2017,TV-PG,4 Seasons,"Docuseries, Reality TV","This docuseries dives into the cutthroat world of Texas youth football, where kids face grueling demands and pressure from coaches and parents to win."
